stacode	iyear	idate	T_AVE	R
57859	1991	0101	6.5	2.6
57859	1991	0102	6.4	2.6
57859	1991	0103	6.3	2.7
57859	1991	0104	6.2	2.7
57859	1991	0105	6.2	2.7
57859	1991	0106	6.1	2.7
57859	1991	0107	6	2.6
57859	1991	0108	5.9	2.6
57859	1991	0109	5.9	2.6
57859	1991	0110	5.8	2.6
57859	1991	0111	5.7	2.5
57859	1991	0112	5.7	2.5
57859	1991	0113	5.6	2.5
57859	1991	0114	5.6	2.4
57859	1991	0115	5.6	2.4
57859	1991	0116	5.5	2.4
57859	1991	0117	5.5	2.3
57859	1991	0118	5.5	2.3
57859	1991	0119	5.5	2.3
57859	1991	0120	5.5	2.3
57859	1991	0121	5.6	2.3
57859	1991	0122	5.6	2.3
57859	1991	0123	5.6	2.3
57859	1991	0124	5.7	2.3
57859	1991	0125	5.8	2.3
57859	1991	0126	5.8	2.3
57859	1991	0127	5.9	2.3
57859	1991	0128	6	2.4
57859	1991	0129	6.1	2.4
57859	1991	0130	6.2	2.5
57859	1991	0131	6.3	2.5
57859	1991	0201	6.4	2.6
57859	1991	0202	6.6	2.7
57859	1991	0203	6.7	2.7
57859	1991	0204	6.8	2.8
57859	1991	0205	7	2.9
57859	1991	0206	7.1	2.9
57859	1991	0207	7.3	3
57859	1991	0208	7.4	3.1
57859	1991	0209	7.6	3.1
57859	1991	0210	7.7	3.2
57859	1991	0211	7.8	3.3
57859	1991	0212	8	3.3
57859	1991	0213	8.1	3.4
57859	1991	0214	8.3	3.4
57859	1991	0215	8.4	3.5
57859	1991	0216	8.6	3.5
57859	1991	0217	8.7	3.5
57859	1991	0218	8.8	3.6
57859	1991	0219	8.9	3.6
57859	1991	0220	9.1	3.7
57859	1991	0221	9.2	3.7
57859	1991	0222	9.3	3.7
57859	1991	0223	9.4	3.7
57859	1991	0224	9.5	3.8
57859	1991	0225	9.6	3.8
57859	1991	0226	9.7	3.8
57859	1991	0227	9.9	3.9
57859	1991	0228	10	3.9
57859	1991	0229	10	3.9
57859	1991	0301	10.1	4
57859	1991	0302	10.2	4
57859	1991	0303	10.3	4
57859	1991	0304	10.4	4.1
57859	1991	0305	10.5	4.1
57859	1991	0306	10.6	4.2
57859	1991	0307	10.7	4.3
57859	1991	0308	10.8	4.3
57859	1991	0309	10.9	4.4
57859	1991	0310	11	4.4
57859	1991	0311	11.2	4.5
57859	1991	0312	11.3	4.6
57859	1991	0313	11.4	4.6
57859	1991	0314	11.6	4.7
57859	1991	0315	11.7	4.8
57859	1991	0316	11.9	4.8
57859	1991	0317	12	4.9
57859	1991	0318	12.2	5
57859	1991	0319	12.3	5
57859	1991	0320	12.5	5.1
57859	1991	0321	12.7	5.1
57859	1991	0322	12.9	5.1
57859	1991	0323	13	5.2
57859	1991	0324	13.2	5.2
57859	1991	0325	13.4	5.2
57859	1991	0326	13.6	5.2
57859	1991	0327	13.8	5.3
57859	1991	0328	14	5.3
57859	1991	0329	14.2	5.3
57859	1991	0330	14.4	5.3
57859	1991	0331	14.6	5.3
57859	1991	0401	14.8	5.3
57859	1991	0402	15.1	5.3
57859	1991	0403	15.3	5.3
57859	1991	0404	15.5	5.3
57859	1991	0405	15.7	5.3
57859	1991	0406	15.9	5.3
57859	1991	0407	16.1	5.3
57859	1991	0408	16.3	5.3
57859	1991	0409	16.5	5.4
57859	1991	0410	16.7	5.4
57859	1991	0411	16.9	5.5
57859	1991	0412	17.1	5.6
57859	1991	0413	17.3	5.6
57859	1991	0414	17.5	5.7
57859	1991	0415	17.7	5.8
57859	1991	0416	17.8	6
57859	1991	0417	18	6.1
57859	1991	0418	18.2	6.3
57859	1991	0419	18.3	6.4
57859	1991	0420	18.5	6.6
57859	1991	0421	18.7	6.8
57859	1991	0422	18.8	7
57859	1991	0423	19	7.2
57859	1991	0424	19.1	7.4
57859	1991	0425	19.3	7.7
57859	1991	0426	19.4	7.9
57859	1991	0427	19.5	8.1
57859	1991	0428	19.6	8.3
57859	1991	0429	19.8	8.6
57859	1991	0430	19.9	8.8
57859	1991	0501	20	9
57859	1991	0502	20.1	9.2
57859	1991	0503	20.2	9.4
57859	1991	0504	20.3	9.6
57859	1991	0505	20.4	9.8
57859	1991	0506	20.6	9.9
57859	1991	0507	20.7	10
57859	1991	0508	20.8	10.2
57859	1991	0509	20.8	10.3
57859	1991	0510	20.9	10.3
57859	1991	0511	21	10.4
57859	1991	0512	21.1	10.4
57859	1991	0513	21.2	10.5
57859	1991	0514	21.3	10.5
57859	1991	0515	21.4	10.5
57859	1991	0516	21.5	10.4
57859	1991	0517	21.6	10.4
57859	1991	0518	21.7	10.3
57859	1991	0519	21.8	10.3
57859	1991	0520	21.9	10.2
57859	1991	0521	22	10.1
57859	1991	0522	22.1	10
57859	1991	0523	22.2	10
57859	1991	0524	22.3	9.9
57859	1991	0525	22.4	9.8
57859	1991	0526	22.5	9.7
57859	1991	0527	22.6	9.7
57859	1991	0528	22.7	9.6
57859	1991	0529	22.8	9.6
57859	1991	0530	22.9	9.5
57859	1991	0531	23	9.5
57859	1991	0601	23.1	9.5
57859	1991	0602	23.2	9.5
57859	1991	0603	23.3	9.6
57859	1991	0604	23.4	9.6
57859	1991	0605	23.5	9.7
57859	1991	0606	23.6	9.8
57859	1991	0607	23.7	9.9
57859	1991	0608	23.9	10
57859	1991	0609	24	10.1
57859	1991	0610	24.1	10.2
57859	1991	0611	24.2	10.4
57859	1991	0612	24.3	10.5
57859	1991	0613	24.4	10.7
57859	1991	0614	24.5	10.8
57859	1991	0615	24.6	11
57859	1991	0616	24.7	11.1
57859	1991	0617	24.8	11.3
57859	1991	0618	24.9	11.4
57859	1991	0619	25	11.5
57859	1991	0620	25.1	11.6
57859	1991	0621	25.1	11.7
57859	1991	0622	25.2	11.8
57859	1991	0623	25.3	11.8
57859	1991	0624	25.4	11.8
57859	1991	0625	25.5	11.8
57859	1991	0626	25.5	11.8
57859	1991	0627	25.6	11.7
57859	1991	0628	25.7	11.6
57859	1991	0629	25.7	11.5
57859	1991	0630	25.8	11.3
57859	1991	0701	25.8	11.1
57859	1991	0702	25.9	10.9
57859	1991	0703	25.9	10.7
57859	1991	0704	26	10.4
57859	1991	0705	26	10.1
57859	1991	0706	26.1	9.9
57859	1991	0707	26.1	9.5
57859	1991	0708	26.2	9.2
57859	1991	0709	26.2	8.9
57859	1991	0710	26.3	8.6
57859	1991	0711	26.3	8.2
57859	1991	0712	26.3	7.9
57859	1991	0713	26.4	7.5
57859	1991	0714	26.4	7.2
57859	1991	0715	26.4	6.9
57859	1991	0716	26.5	6.6
57859	1991	0717	26.5	6.3
57859	1991	0718	26.5	6
57859	1991	0719	26.6	5.8
57859	1991	0720	26.6	5.6
57859	1991	0721	26.6	5.4
57859	1991	0722	26.6	5.2
57859	1991	0723	26.7	5
57859	1991	0724	26.7	4.9
57859	1991	0725	26.7	4.8
57859	1991	0726	26.7	4.7
57859	1991	0727	26.7	4.7
57859	1991	0728	26.7	4.6
57859	1991	0729	26.7	4.6
57859	1991	0730	26.7	4.6
57859	1991	0731	26.7	4.7
57859	1991	0801	26.7	4.7
57859	1991	0802	26.7	4.7
57859	1991	0803	26.7	4.8
57859	1991	0804	26.7	4.9
57859	1991	0805	26.6	5
57859	1991	0806	26.6	5
57859	1991	0807	26.6	5.1
57859	1991	0808	26.5	5.2
57859	1991	0809	26.5	5.2
57859	1991	0810	26.4	5.3
57859	1991	0811	26.4	5.3
57859	1991	0812	26.3	5.4
57859	1991	0813	26.3	5.4
57859	1991	0814	26.2	5.4
57859	1991	0815	26.1	5.4
57859	1991	0816	26.1	5.3
57859	1991	0817	26	5.3
57859	1991	0818	25.9	5.2
57859	1991	0819	25.8	5.1
57859	1991	0820	25.7	5
57859	1991	0821	25.7	4.9
57859	1991	0822	25.6	4.8
57859	1991	0823	25.5	4.6
57859	1991	0824	25.4	4.5
57859	1991	0825	25.3	4.3
57859	1991	0826	25.2	4.1
57859	1991	0827	25.1	4
57859	1991	0828	25	3.8
57859	1991	0829	24.9	3.6
57859	1991	0830	24.8	3.4
57859	1991	0831	24.7	3.2
57859	1991	0901	24.6	3
57859	1991	0902	24.5	2.9
57859	1991	0903	24.5	2.7
57859	1991	0904	24.4	2.6
57859	1991	0905	24.3	2.4
57859	1991	0906	24.1	2.3
57859	1991	0907	24	2.2
