MCTF BENN 20210416
59631 03.7 0024
57949 -0.6 0141
59435 02.6 0054
57958 -1.1 0134
59021 -0.8 0066
59254 01.8 0078
59215 00.7 0051
59454 01.6 0059
59045 00.3 0115
59211 00.5 0033
59246 01.7 0080
59457 02.5 0037
59426 02.4 0043
59023 -1.3 0113
57955 -2.4 0116
59053 -0.7 0105
59227 01.0 0055
59452 01.9 0051
59448 03.0 0031
59034 -0.2 0107
59242 01.3 0083
59022 -1.8 0088
59228 01.2 0061
59015 -0.2 0026
59057 00.7 0088
57948 -0.8 0127
59647 05.4 -020
59218 00.8 0045
59417 02.1 0050
59644 04.9 -006
59632 03.6 0014
59266 01.7 0056
57954 -1.0 0115
59031 -0.9 0101
59051 -0.4 0097
59052 -0.7 0092
59419 02.7 0042
59626 04.1 0003
59061 -0.7 0080
59044 00.9 0094
59064 -0.1 0076
59235 01.8 0060
59001 -2.1 0007
59033 -0.2 0100
59224 01.0 0042
57957 -1.2 0107
59255 01.7 0060
57956 -1.5 0109
59453 02.6 0036
59025 -0.6 0064
59017 -0.0 0012
59041 00.4 0103
59229 01.8 0053
59004 -2.1 0000
57927 -1.4 0065
59047 01.1 0094
59640 04.5 0003
59209 -0.1 0037
59012 -0.7 0035
59213 00.9 0048
59635 04.2 0012
59241 01.7 0094
59451 02.4 0053
59230 00.9 0100
59046 01.0 0120
59427 02.8 0059
59027 00.2 0079
59431 02.7 0067
59421 01.8 0073
57947 -0.6 0173
59037 00.5 0130
59055 00.2 0136
59065 00.0 0118
59446 03.2 0062
59429 03.3 0051
57859 -2.3 0146
59238 02.1 0102
59237 02.1 0099
59038 00.9 0136
59256 01.8 0100
59449 03.1 0060
57941 -1.5 0184
59441 02.7 0081
59059 00.5 0128
59249 02.5 0090
57964 -1.9 0133
57942 -1.9 0165
59058 00.5 0124
59265 01.6 0093
57960 -2.2 0124
59425 02.4 0066
